Songs:
higher higher                                     - justin timberlake
for the girls                                     - hayley kiyoko
forever after all                                 - luke combs
nail tech                                         - jack harlow
milk                                              - the 1975
drunk face                                        - machine gun kelly
oak trees                                         - daniel nunnelee
medicine                                          - bring me the horizon
neon eyes                                         - morgan wallen
false god                                         - ryan hurd
so it goes...                                     - taylor swift
my generation                                     - the who
fergalicious                                      - fergie
always                                            - tor miller
this love (taylor's version)                      - taylor swift
at my best                                        - machine gun kelly
strawberry lipstick                               - yungblud
flume                                             - fitness
cola                                              - lana del rey
save alive                                        - ashe
if i believe you                                  - the 1975
too damn young                                    - luke bryan
manila                                            - george ezra
god gave me you                                   - blake shelton
this side of a dust cloud                         - morgan wallen
throne                                            - bring me the horizon
die alone                                         - finneas
i want it all                                     - arctic monkeys
purpose                                           - justin bieber
go for broke                                      - machine gun kelly
shadown moses                                     - bring me the horizon
stay awake?                                       - bastille
outgrown                                          - dermot kennedy
tompkins square park                              - mumford and sons
you proof                                         - morgan wallen
outer space                                       - 5sos
still                                             - niall horan
kiwi                                              - harry styles
the funeral                                       - band of horses
say love                                          - james tw
stuck on the puzzle                               - alex turner
smithereens                                       - twenty one pilots
new york soul                                     - jon bellion
no more bad days                                  - this wild life
something's gotta give                            - all time low
eazy                                              - the game
cherry red                                        - waterparks
ozone                                             - chase atlantic
smile again                                       - blackbear
my vow                                            - black veil brides
over again                                        - one direction
all your ex's                                     - julia michaels
thank god                                         - kane brown
youth                                             - daughter
someone like you                                  - adele
wild world                                        - cat stevens
one another                                       - mac demarco
don't leave me                                    - blink-182
shoot me                                          - day6
congratulations                                   - day6
time of your life                                 - day6
your ex-lover was dead                            - stars
someone new                                       - banks
come out and play                                 - billie eilish
somebody else                                     - the 1975
somelone like your                                - adele
guilty party                                      - the national
i hope you're happy                               - blue october
space cowboy                                      - kacey musgraves
little freak                                      - harry styles
i hope you're happy                               - blue october
scared to live                                    - the weeknd (snl live)
godspeed                                          - frank ocean
die, die my darling                               - metallica
cornelia jakobs                                   - hold me closer
manhattan                                         - sara bareilles
wish you well                                     - bernard fanning
wild world                                        - cat stevens
california                                        - delta spirits
you could be happy                                - snow patrol
konstantine                                       - something corporate
the other side                                    - tonight alive
anything but me!!                                 - muna
i'm not angry anymore                             - paramore
you'll be in my heart                             - phil collins
turn it up                                        - pixie lott
happier                                           - olivia rodrigo
fare thee well                                    - gabe wootton
single player mode                                - litany
no hard feelings                                  - wolf alice
see you smile                                     - tim mcgraw
someone like you                                  - adele
under control                                     - the strokes
happy for you                                     - lukas graham
dear first love                                   - LØLØ
i wish you love                                   - rachel yamagata
sparks                                            - coldplay
good riddance                                     - green day
definitely not no children                        - mountain goats
hold me closer                                    - cornelia jakobs
angel                                             - the weeknd
old & gray                                        - maps & atlases
bye baby                                          - nas
all at night                                      - whitney houston
end of the road medley                            - gladys knight
i'll never love this way again                    - dionne warwick
i would hate you if i could                       - turnover
eventually                                        - tame impala
i wish the best for you                           - emerson hart
dave mason                                        - we just disagree
the good stuff                                    - falcon
thank you for saying goodbye                      - the glorious sons
all teh best                                      - zac brown band
all your favorite bands                           - dawes
jealous                                           - labyrinth
francis dunnery                                   - good life
maybe it's just me                                - butch walker
delta spirit                                      - california
it's gonna be (alright)                           - ween
wish you well                                     - singala
i hope you're happy now                           - carly pearce
i'm doing fine                                    - colin hay
health and happiness                              - the wallflowers
godspeed                                          - frank ocean
drifty                                            - sjowgren
details                                           - maisie peters
cursor                                            - lil ugly mane
intwine                                           - happy
eventually                                        - tame impalas
i hope my ex is happy                             - elise ecklund
remember me                                       - diana ross
drama                                             - years
wildflowers                                       - trampled by turtles
no distance left to run                           - blur
if you see her, say hello                         - bob dylan
easy                                              - misterwives
steep                                             - lauren christy
hold no grudge                                    - lorde
wish me well (you can go to hell)                 - the bouncing souls
tattoos                                           - tyler childers
mango                                             - kamauu
freakin out on the interstate                     - briston maroney
california                                        - delta spirit
no better                                         - bug heaven
i wish you well                                   - braxton cook
calling and not calling my ex                     - okkervil river
my life                                           - billy joel
i'll be around                                    - the spinners
easy                                              - lionel ritchie
before i let go                                   - maze, frankie beverly
before i let go                                   - beyonce
